economy,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
BHR,9.24752998352051,8.91714000701904,7.04086017608643,10.3946304321289,,,16.2764205932617,17.6800899505615,18.3249492645264,16.9074897766113,15.6648597717285,15.3127403259277,,,19.2530899047852,,,,25.1201400756836,,19.0136394500732,17.5358505249023,,,,,46.3075025646345,47.6811679519633,44.1274788546413,44.7866602427761,45.6439860607554,46.7631772606016,48.7280981931009,50.2628341348842,52.9045782700327,54.4077922369055,47.5015525503536,50.3073760962771,57.0562240948353,58.3677241853667
BHS,14.3001403808594,16.0247592926025,17.2592391967773,18.4946308135986,,,,,,,14.8425798416138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,15.3945398330688,16.782470703125,17.0357398986816,18.8590297698975,21.1273002624512,24.1594295501709,27.0378398895264,30.7171401977539,34.473949432373,36.9575691223145,38.5334587097168,41.9769592285156,44.7015495300293,51.3600883483887,54.1655807495117,55.5336608886719,56.9546089172363,54.528678894043,49.7987518310547,46.6677894592285,43.8039207458496,45.0589485168457,45.6063499450684,45.5027618408203,
BLR,45.119930267334,46.2769012451172,47.3251914978027,47.8894996643066,48.534610748291,48.9211387634277,47.9793395996094,44.3892517089844,43.4634819030762,41.3819999694824,40.5794792175293,44.467098236084,44.790599822998,48.6389083862305,51.9174118041992,54.5108413696289,56.5885696411133,58.9719886779785,61.6584510803223,62.9585113525391,65.4601211547852,68.3140869140625,71.1050872802734,71.3163528442383,75.3678512573242,80.1169697729485,87.3373753061346,93.4729592664074,95.4975003100193,94.316359554493,93.7888271999214,91.5206757734477,89.4706479354735,84.7097808751504,81.2921953254514,79.900160036935,78.6027133367864,77.0977334087936,72.8250212584046,70.1107509145358
BLZ,,,,,,,,,,,,,,,,,15.1962203979492,17.0946197509766,16.2938194274902,15.6906204223633,16.1422500610352,16.941520690918,17.9253196716309,18.78537940979,22.0563106536865,21.5657311669129,21.5464009784327,24.0271611386785,24.0045345047471,24.0154633440872,23.4350622690571,24.4760136680388,24.731690676743,24.5883446033139,25.138736158351,25.9421694120047,23.6813942822198,23.9767727412258,22.3734089825019,24.8098643151325
BMU,,,,,,,,,,,,,,,,,,,,,,32.5518684387207,29.2320194244385,29.9917602539062,38.3707885742188,36.5495414733887,37.8277206420898,36.9150810241699,35.1997718811035,33.3333282470703,30.6167392730713,,21.8093700408936,22.3407592773438,,,,,17.3357105255127,
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8344116210938,44.9966697692871,47.8131904602051,49.0805015563965,48.9665794372559,50.7326316833496,52.05712890625,53.6215400695801,55.529109954834,57.6311988830566,61.0000915527344,,69.7317733764648
BRB,19.9854698181152,,,,18.0888195037842,18.1553592681885,28.3673095703125,29.5495491027832,27.2394599914551,,,,,,36.0569381713867,41.9254302978516,41.2074584960938,,,,,,60.2387390136719,,74.2060775756836,69.5953279239237,66.9463967271583,70.0289730657796,73.1807704972012,71.2682628742848,57.2814457564167,52.0533712473342,51.0106696691866,45.8751983077737,48.935497470489,52.971630831,54.672,55.0600902713579,54.2600399378744,53.5815662047086
BRN,,2.42632007598877,3.75074005126953,,,,,5.49680995941162,5.81064987182617,6.15674018859863,,,,10.6331796646118,13.0251398086548,13.4959297180176,14.6684103012085,14.1154699325562,14.257490158081,15.1707801818848,15.2498598098755,15.2068796157837,15.4847002029419,15.7385101318359,16.5658493041992,15.3331604003906,17.4244594573975,22.0733509063721,23.4649200439453,30.0799102783203,28.6641292572021,28.6644096374512,31.2433910195239,27.9285989469629,27.7715019255456,27.4692556634304,27.4258937503291,31.1925368707703,36.4182725443167,
