DATAFLOW,REF_AREA,FREQ,MEASURE,SEX,SOC,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,49.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COL,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,54.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),COM,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,3.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2016,43.6,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2017,46,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,48.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,50,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,51.4,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,57,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,58.1,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CPV,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2023,60.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,Social security coverage: National estimate,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CRI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,72,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CRI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2017,72,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CRI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,56.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CRI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,60.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CRI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,59.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CUB,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,48.7,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CUB,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,63.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CUW,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2020,47.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CYM,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2021,94.2,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CYP,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,85.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CYP,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,98.8,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,78.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,77.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),CZE,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2023,78.9,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),DEU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2015,99.5,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),DEU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2018,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),DEU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),DEU,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2022,100,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
ILO:DF_SDG_0131_SEX_SOC_RT(1.0),DJI,A,SDG_0131_RT,SEX_T,SOC_CONTIG_TOTAL,2019,12.3,,RT,PT,0,ILO - Social Security Inquiry Database,,,,1,,
